timestamp,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,eth.src,eth.dst,category,detected.as
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
